Region,Year,Value
Africa,2005,20286
Africa,2006,22140
Africa,2007,28771
Africa,2008,26221
Africa,2009,30747
Africa,2010,51496
Africa,2011,58123
Africa,2012,51633
Africa,2013,88352
Africa,2014,76139
Africa,2015,57841
Africa,2016,49486
Africa,2017,54807
Africa,2018,46327
Africa,2019,41343
Africa,2020,35555
Africa,2021,89015
Africa,2022,91281
Northern America,2005,593965
Northern America,2006,726485
Northern America,2007,901267
Northern America,2008,1000228
Northern America,2009,957182
Northern America,2010,1101201
Northern America,2011,1225800
Northern America,2012,1097936
Northern America,2013,1005417
Northern America,2014,1093345
Northern America,2015,945412
Northern America,2016,852439
Northern America,2017,756914
Northern America,2018,552474
Northern America,2019,373221
Northern America,2020,299048
Northern America,2021,421910
Northern America,2022,424120
Latin America and the Caribbean,2005,247020
Latin America and the Caribbean,2006,315549
Latin America and the Caribbean,2007,378518
Latin America and the Caribbean,2008,389151
Latin America and the Caribbean,2009,246363
Latin America and the Caribbean,2010,295752
Latin America and the Caribbean,2011,369719
Latin America and the Caribbean,2012,415901
Latin America and the Caribbean,2013,395959
Latin America and the Caribbean,2014,406519
Latin America and the Caribbean,2015,278989
Latin America and the Caribbean,2016,232334
Latin America and the Caribbean,2017,216712
Latin America and the Caribbean,2018,195324
Latin America and the Caribbean,2019,171111
Latin America and the Caribbean,2020,143542
Latin America and the Caribbean,2021,193241
Latin America and the Caribbean,2022,187575
Asia,2005,1688347
Asia,2006,2026869
Asia,2007,2374367
Asia,2008,2600389
Asia,2009,2320360
Asia,2010,2838416
Asia,2011,3184529
Asia,2012,3147324
Asia,2013,2833137
Asia,2014,2870525
Asia,2015,2388827
Asia,2016,2279979
Asia,2017,1940822
Asia,2018,1083388
Asia,2019,958404
Asia,2020,766362
Asia,2021,793298
Asia,2022,836385
Europe,2005,1202802
Europe,2006,1482057
Europe,2007,1808643
Europe,2008,2092961
Europe,2009,1729425
Europe,2010,2050619
Europe,2011,2522123
Europe,2012,2540983
Europe,2013,2508749
Europe,2014,2585958
Europe,2015,2149051
Europe,2016,1909839
Europe,2017,1820661
Europe,2018,1762519
Europe,2019,1623050
Europe,2020,1347703
Europe,2021,1973923
Europe,2022,2439479
Oceania,2005,37041
Oceania,2006,46957
Oceania,2007,54588
Oceania,2008,66546
Oceania,2009,55287
Oceania,2010,75474
Oceania,2011,96063
Oceania,2012,95503
Oceania,2013,73295
Oceania,2014,84768
Oceania,2015,72916
Oceania,2016,61181
Oceania,2017,45593
Oceania,2018,38944
Oceania,2019,33869
Oceania,2020,25235
Oceania,2021,59214
Oceania,2022,46740
