Region,Year,Value
Africa,2005,18802
Africa,2006,19404
Africa,2007,27486
Africa,2008,33014
Africa,2009,104366
Africa,2010,79223
Africa,2011,39946
Africa,2012,41094
Africa,2013,53222
Africa,2014,78773
Africa,2015,50143
Africa,2016,34906
Africa,2017,44940
Africa,2018,58560
Africa,2019,59696
Africa,2020,48486
Africa,2021,46021
Africa,2022,58758
Northern America,2005,378603
Northern America,2006,559038
Northern America,2007,357535
Northern America,2008,371671
Northern America,2009,283694
Northern America,2010,318103
Northern America,2011,335362
Northern America,2012,340764
Northern America,2013,360160
Northern America,2014,414431
Northern America,2015,349823
Northern America,2016,332456
Northern America,2017,335226
Northern America,2018,357940
Northern America,2019,334075
Northern America,2020,309302
Northern America,2021,489274
Northern America,2022,499511
Latin America and the Caribbean,2005,44754
Latin America and the Caribbean,2006,47987
Latin America and the Caribbean,2007,53630
Latin America and the Caribbean,2008,56607
Latin America and the Caribbean,2009,50544
Latin America and the Caribbean,2010,70662
Latin America and the Caribbean,2011,117209
Latin America and the Caribbean,2012,101047
Latin America and the Caribbean,2013,106325
Latin America and the Caribbean,2014,90636
Latin America and the Caribbean,2015,84544
Latin America and the Caribbean,2016,57277
Latin America and the Caribbean,2017,78679
Latin America and the Caribbean,2018,77586
Latin America and the Caribbean,2019,69711
Latin America and the Caribbean,2020,74386
Latin America and the Caribbean,2021,94194
Latin America and the Caribbean,2022,96175
Asia,2005,3607935
Asia,2006,4358499
Asia,2007,5186965
Asia,2008,6596090
Asia,2009,5420534
Asia,2010,7244470
Asia,2011,8372641
Asia,2012,8306664
Asia,2013,7831753
Asia,2014,7991153
Asia,2015,5770708
Asia,2016,5105962
Asia,2017,4567404
Asia,2018,1342340
Asia,2019,1187150
Asia,2020,922374
Asia,2021,1071622
Asia,2022,1233299
Europe,2005,623636
Europe,2006,815634
Europe,2007,1018977
Europe,2008,1114645
Europe,2009,785774
Europe,2010,939590
Europe,2011,1390161
Europe,2012,1326741
Europe,2013,1445909
Europe,2014,1517615
Europe,2015,1242376
Europe,2016,1217734
Europe,2017,1277861
Europe,2018,1378291
Europe,2019,1360520
Europe,2020,1089425
Europe,2021,1672130
Europe,2022,2215837
Oceania,2005,5001
Oceania,2006,10124
Oceania,2007,9853
Oceania,2008,10689
Oceania,2009,7851
Oceania,2010,9064
Oceania,2011,8905
Oceania,2012,10242
Oceania,2013,18748
Oceania,2014,16412
Oceania,2015,13218
Oceania,2016,11427
Oceania,2017,12570
Oceania,2018,14068
Oceania,2019,11905
Oceania,2020,9123
Oceania,2021,11676
Oceania,2022,11837
