STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Location,PLASTICS_EOLFATETYPES,Plastic end of life fates,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,OAM,Other OECD America,LIT,Littered,2019,,0.040186,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,ODA,Other non-OECD Asia,TOTAL,Total,2019,,25.46238,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,OPA,OECD Asia,LAN,Landfilled,2019,,1.73161,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,OCE,OECD Oceania,MIS,Mismanaged,2019,,0.124666,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,RAN,Other Eurasia,INC,Incinerated,2019,,0.171116,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,MEN,Middle East & North Africa,TOTAL,Total,2019,,16.91715,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,EU5,Other EU,REC,Recycled,2019,,0.147028,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,OE6,OECD Non-EU,INC,Incinerated,2019,,3.759428,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,OAM,Other OECD America,INC,Incinerated,2019,,0.054668,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,ODA,Other non-OECD Asia,LAN,Landfilled,2019,,10.609316,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,EU5,Other EU,MIS,Mismanaged,2019,,0.25695,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,OPA,OECD Asia,TOTAL,Total,2019,,12.250182,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,RAN,Other Eurasia,LIT,Littered,2019,,0.048614,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,OCE,OECD Oceania,REC,Recycled,2019,,0.130055,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,O22,OECD EU,TOTAL,Total,2019,,50.671286,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,MEN,Middle East & North Africa,LAN,Landfilled,2019,,9.160226,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,OE6,OECD Non-EU,LIT,Littered,2019,,0.031191,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,OAF,Other Africa,INC,Incinerated,2019,,0.082107,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,ODA,Other non-OECD Asia,INC,Incinerated,2019,,1.115846,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,EU5,Other EU,LAN,Landfilled,2019,,1.958309,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,OPA,OECD Asia,LIT,Littered,2019,,0.024566,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,RAN,Other Eurasia,MIS,Mismanaged,2019,,6.562043,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,LAM,Latin America,INC,Incinerated,2019,,0.109527,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,O22,OECD EU,LAN,Landfilled,2019,,18.813869,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,OAF,Other Africa,REC,Recycled,2019,,0.929337,,A,,,,,,,
DATAFLOW,OECD:DF_PLASTIC_WASTE_5(1.0),Plastic waste by region and end-of-life fate,I,OE6,OECD Non-EU,MIS,Mismanaged,2019,,1.321256,,A,,,,,,,
