typeCode,freqCode,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,cmdCode,cmdDesc,isLeaf,customsDesc,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,2023,52,2023,20,AND,Andorra,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,1255.5,FALSE,8,kg,1255.5,FALSE,1255.5,FALSE,0,FALSE,1582.605,,1582.605,0,FALSE,TRUE
C,A,2023,52,2023,20,AND,Andorra,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,3556163,FALSE,8,kg,3556163,FALSE,3556163,FALSE,0,FALSE,,472227.236,472227.236,0,FALSE,TRUE
C,A,2023,52,2023,24,AGO,Angola,M,Import,0,W00,World,0,W00,World,H5,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,1670486.29,TRUE,-1,N/A,0,FALSE,1670486.29,TRUE,0,FALSE,747841.1,646350.95,747841.1,6,FALSE,TRUE
C,A,2023,52,2023,24,AGO,Angola,X,Export,0,W00,World,0,W00,World,H5,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,2033.736,FALSE,8,kg,2033.736,FALSE,2033.736,FALSE,0,FALSE,,9689.845,9689.845,0,FALSE,TRUE
C,A,2023,52,2023,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H3,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,35,FALSE,5,u,8,FALSE,35,FALSE,0,FALSE,35.289,,35.289,0,FALSE,TRUE
C,A,2023,52,2023,31,AZE,Azerbaijan,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,13535318.83,,13535318.83,0,FALSE,TRUE
C,A,2023,52,2023,31,AZE,Azerbaijan,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,191400,FALSE,8,kg,191400,FALSE,191400,FALSE,0,FALSE,,172093.74,172093.74,0,FALSE,TRUE
C,A,2023,52,2023,32,ARG,Argentina,M,Import,0,W00,World,0,W00,World,H5,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,2231634,FALSE,8,kg,2231634,FALSE,2231634,FALSE,0,FALSE,2815447.32,2617830.9,2815447.32,0,FALSE,TRUE
C,A,2023,52,2023,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,8716527.39,FALSE,8,kg,8716527.39,FALSE,8716527.39,FALSE,0,FALSE,5274532.327,4603243.453,5274532.327,0,FALSE,TRUE
C,A,2023,52,2023,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,65105220,FALSE,8,kg,65105220,FALSE,65105220,FALSE,66437080,FALSE,,21190491.838,21190491.838,0,FALSE,TRUE
C,A,2023,52,2023,40,AUT,Austria,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,214471963.608,TRUE,-1,N/A,0,FALSE,214471963.608,TRUE,0,FALSE,94487879.111,,94487879.111,6,FALSE,TRUE
C,A,2023,52,2023,40,AUT,Austria,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,165196207.166,TRUE,-1,N/A,0,FALSE,165196207.166,TRUE,0,FALSE,,59549613.894,59549613.894,6,FALSE,TRUE
C,A,2023,52,2023,44,BHS,Bahamas,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,13152.271,TRUE,-1,N/A,0,FALSE,13152.271,TRUE,0,FALSE,79346,,79346,6,FALSE,TRUE
