,Entity,Code,Year,Variable,Value
0,Americas (excl. USA),AMERICAS,2000,Recycled,4.721963
1,Americas (excl. USA),AMERICAS,2001,Recycled,4.9725046
2,Americas (excl. USA),AMERICAS,2002,Recycled,5.22747
3,Americas (excl. USA),AMERICAS,2003,Recycled,5.4825106
4,Americas (excl. USA),AMERICAS,2004,Recycled,5.7400074
5,Americas (excl. USA),AMERICAS,2005,Recycled,5.9932656
6,Americas (excl. USA),AMERICAS,2006,Recycled,6.2488875
7,Americas (excl. USA),AMERICAS,2007,Recycled,6.5048146
8,Americas (excl. USA),AMERICAS,2008,Recycled,6.750381
9,Americas (excl. USA),AMERICAS,2009,Recycled,7.0017624
10,Americas (excl. USA),AMERICAS,2010,Recycled,7.2607164
11,Americas (excl. USA),AMERICAS,2011,Recycled,7.517997
12,Americas (excl. USA),AMERICAS,2012,Recycled,7.7693286
13,Americas (excl. USA),AMERICAS,2013,Recycled,8.0173
14,Americas (excl. USA),AMERICAS,2014,Recycled,8.261709
15,Americas (excl. USA),AMERICAS,2015,Recycled,8.545545
16,Americas (excl. USA),AMERICAS,2016,Recycled,8.805077
17,Americas (excl. USA),AMERICAS,2017,Recycled,9.050159
18,Americas (excl. USA),AMERICAS,2018,Recycled,9.3020315
19,Americas (excl. USA),AMERICAS,2019,Recycled,9.554245
20,Asia (excl. China and India),ASIA,2000,Recycled,3.826082
21,Asia (excl. China and India),ASIA,2001,Recycled,4.0782595
22,Asia (excl. China and India),ASIA,2002,Recycled,4.3347645
23,Asia (excl. China and India),ASIA,2003,Recycled,4.5875983
24,Asia (excl. China and India),ASIA,2004,Recycled,4.8415866
25,Asia (excl. China and India),ASIA,2005,Recycled,5.084951
26,Asia (excl. China and India),ASIA,2006,Recycled,5.3303037
27,Asia (excl. China and India),ASIA,2007,Recycled,5.573142
28,Asia (excl. China and India),ASIA,2008,Recycled,5.789884
29,Asia (excl. China and India),ASIA,2009,Recycled,6.0158916
30,Asia (excl. China and India),ASIA,2010,Recycled,6.261683
31,Asia (excl. China and India),ASIA,2011,Recycled,6.5045176
32,Asia (excl. China and India),ASIA,2012,Recycled,6.7315044
33,Asia (excl. China and India),ASIA,2013,Recycled,6.9581046
34,Asia (excl. China and India),ASIA,2014,Recycled,7.181574
35,Asia (excl. China and India),ASIA,2015,Recycled,7.4340363
36,Asia (excl. China and India),ASIA,2016,Recycled,7.6610985
37,Asia (excl. China and India),ASIA,2017,Recycled,7.8878145
38,Asia (excl. China and India),ASIA,2018,Recycled,8.143374
39,Asia (excl. China and India),ASIA,2019,Recycled,8.351267
40,China,CHN,2000,Recycled,4.7811875
41,China,CHN,2001,Recycled,5.210237
42,China,CHN,2002,Recycled,5.6417065
43,China,CHN,2003,Recycled,6.072641
44,China,CHN,2004,Recycled,6.505385
45,China,CHN,2005,Recycled,6.9324255
46,China,CHN,2006,Recycled,7.361401
47,China,CHN,2007,Recycled,7.7904778
48,China,CHN,2008,Recycled,8.205644
49,China,CHN,2009,Recycled,8.62724
50,China,CHN,2010,Recycled,9.063556
