objectid,oceans,measurement,lat,long,year
10008,Atlantic Ocean,0.02,-58.4283,-64.164,2017
8680,Atlantic Ocean,0.008,-51.3082,-60.5467,2013
13257,Pacific Ocean,0.019886,-51.826667,-72.575,2015
10340,Indian Ocean,0.0,-53.1143,81.77099,2017
9676,Atlantic Ocean,0.018,-31.696,-48.56,2015
11929,Indian Ocean,0.0,-35.0721,127.2582,2011
14253,Atlantic Ocean,0.004425,58.034333,-3.627833,2019
14182,Atlantic Ocean,0.0,55.997,-4.888,2018
14514,Arctic Ocean,0.0,81.1909,12.8995,2016
9344,Pacific Ocean,0.001,16.623,-99.6978,2015
11004,Atlantic Ocean,1.956425,32.6775,34.920833,2013
9937,Pacific Ocean,0.0,34.644,134.493,2016
10933,Pacific Ocean,0.018,40.32,149.59,2017
11265,Atlantic Ocean,0.709184,44.240431,8.469206,2018
13589,Atlantic Ocean,0.138471,38.617833,-20.686667,2019
9012,Atlantic Ocean,0.0,25.38,-18.59,2014
14585,Atlantic Ocean,0.5,25.164051,-18.900932,2015
22079,Atlantic Ocean,0.0,27.9237,-82.4807,2016
10269,Pacific Ocean,0.011252,-13.63958,144.07703,2012
13921,Atlantic Ocean,1368.0,0.631825,-45.398158,2018
10363,Atlantic Ocean,0.0,-58.657288,-13.94965,2017
10031,Atlantic Ocean,0.001,-40.3233,-9.8962,2017
11906,Pacific Ocean,0.040683,-40.6433,155.8671,2011
10246,Pacific Ocean,0.008581,-26.29975,166.9894,2012
13898,Atlantic Ocean,885.0,0.678683,-47.812442,2018
11359,Indian Ocean,0.036134,6.407333,88.701167,2013
14230,Atlantic Ocean,0.041614,55.901,-4.909167,2018
9914,Atlantic Ocean,0.0,50.3247,-5.1998,2016
13566,Atlantic Ocean,0.057342,42.637833,-9.14315,2018
11242,Atlantic Ocean,2.381713,38.2729,-0.27666,2014
13234,Atlantic Ocean,0.090741,36.42,-4.343333,2014
11027,Atlantic Ocean,0.78064,31.746667,34.593,2014
10910,Atlantic Ocean,0.9,35.742,26.212,2019
9035,Atlantic Ocean,0.033,24.2317,-21.2217,2014
9699,Atlantic Ocean,0.0,30.0497,-16.0541,2015
22056,Atlantic Ocean,0.0,27.9899,-82.6316,2016
9250,Atlantic Ocean,0.002,13.7395,-44.58,2014
9367,Atlantic Ocean,0.017,16.8667,-49.25,2015
9582,Atlantic Ocean,0.003,25.7429,-80.0865,2015
10054,Pacific Ocean,0.003,-55.53,-67.6063,2017
11551,Atlantic Ocean,3.218619,-30.5678,-22.9272,2011
10386,Atlantic Ocean,0.0,-34.96585,13.93202,2017
8895,Pacific Ocean,0.001,-33.893,151.2824,2014
12046,Indian Ocean,0.03434,-18.9851,118.2031,2012
10223,Pacific Ocean,0.014685,-21.76922,170.62282,2012
11050,Atlantic Ocean,1.513241,32.840167,34.951833,2014
10887,Atlantic Ocean,0.066667,37.5,26.3,2015
21461,Atlantic Ocean,0.020988,42.696733,10.32925,2018
14136,Atlantic Ocean,0.0,56.423167,-2.472833,2018
14468,Arctic Ocean,1.0,85.575,11.2663,2016
13543,Atlantic Ocean,0.016375,36.609833,-3.896333,2018
13140,Atlantic Ocean,0.216199,31.7012,-12.288867,2013
13211,Atlantic Ocean,0.739937,36.156167,-23.8035,2014
13804,Atlantic Ocean,0.046479,37.991333,15.4615,2021
11219,Atlantic Ocean,0.584957,41.3565,9.3491,2014
10718,Atlantic Ocean,0.335,41.753333,3.063333,2015
11883,Atlantic Ocean,1.120481,31.3751,-41.7579,2013
9390,Atlantic Ocean,0.008,28.6895,-14.0139,2015
12215,Pacific Ocean,0.100287,20.994444,125.980833,2017
8726,Atlantic Ocean,0.002,20.4494,-86.9901,2014
9227,Atlantic Ocean,0.005,15.7974,-52.1839,2014
9559,Atlantic Ocean,0.022,17.0117,-42.6883,2014
22125,Atlantic Ocean,1000.0,27.897,-82.4382,2017
11382,Indian Ocean,0.138437,7.281667,96.902667,2013
13472,Pacific Ocean,0.239819,0.109333,127.352167,2017
9058,Atlantic Ocean,0.004,15.1867,-54.7137,2014
9745,Southern Ocean,0.008,-64.656,-62.1295,2016
8749,Pacific Ocean,0.008,-46.475,169.7,2014
10077,Indian Ocean,46.0,-37.1519,22.5079,2017
11528,Atlantic Ocean,0.218032,-34.3065,7.1063,2010
10200,Pacific Ocean,0.086755,-33.87417,152.0111,2012
12069,Indian Ocean,0.043299,-21.819,113.9455,2012
21438,Atlantic Ocean,0.218413,43.95,9.873333,2018
14159,Atlantic Ocean,0.016313,58.613167,-5.175333,2018
11405,Pacific Ocean,0.085555,-27.013,-107.57014,2015
11196,Atlantic Ocean,2.34786,36.5349,13.1282,2014
10741,Atlantic Ocean,0.912,41.379079,2.194423,2021
11073,Atlantic Ocean,4.17,32.584,34.9055,2015
11860,Atlantic Ocean,0.057574,35.2107,-33.9168,2013
10409,Atlantic Ocean,11.196078,39.666667,19.366667,2013
10864,Atlantic Ocean,0.716667,39.26,19.771,2015
13827,Atlantic Ocean,0.192579,22.256333,-26.314667,2020
9081,Atlantic Ocean,0.002,20.9308,-27.1952,2014
13065,Pacific Ocean,2233.0,21.982733,113.650735,2018
11737,Pacific Ocean,0.237793,27.0833,151.3647,2012
22102,Atlantic Ocean,0.0,27.8096,-82.446,2017
9204,Atlantic Ocean,0.003,18.1069,-36.717,2014
9536,Atlantic Ocean,0.049,18.2258,-45.857,2014
13397,Pacific Ocean,0.0,-18.994333,146.748833,2017
12192,Pacific Ocean,0.49,-0.5,-92.0,2017
13495,Pacific Ocean,0.036106,5.971167,115.159667,2018
9413,Atlantic Ocean,0.001,19.3465,-81.1861,2015
11766,Pacific Ocean,0.102203,-31.3878,-93.3457,2011
10100,Pacific Ocean,54.0,-34.2443,170.8554,2018
12092,Indian Ocean,0.0,-12.81908,129.40024,2013
8843,Pacific Ocean,0.005,7.2812,134.2886,2014
13420,Arctic Ocean,0.041683,66.883333,-9.15,2017
11428,Pacific Ocean,0.056245,-26.46396,-105.36589,2015
11102,Atlantic Ocean,1.14324,42.611,8.7088,2013
13758,Atlantic Ocean,3.203462,44.218833,14.168,2021
