Rank,Country,Measure,Value
1.0,Japan,Contribution,15.571
1.0,United States,Contribution,15.571
3.0,China,Contribution,6.429
4.0,India,Contribution,6.317
5.0,Australia,Contribution,5.773
6.0,Indonesia,Contribution,5.434
7.0,Canada,Contribution,5.219
8.0,South Korea,Contribution,5.026
9.0,Germany,Contribution,4.316
10.0,Malaysia,Contribution,2.717
11.0,Philippines,Contribution,2.377
12.0,France,Contribution,2.322
13.0,Pakistan,Contribution,2.174
14.0,United Kingdom,Contribution,2.038
15.0,Italy,Contribution,1.803
16.0,New Zealand,Contribution,1.532
17.0,Thailand,Contribution,1.358
18.0,Taiwan,Contribution,1.087
19.0,Netherlands,Contribution,1.023
20.0,Bangladesh,Contribution,1.019
,All Remaining Members,Contribution,10.894
1.0,Japan,Voting power,12.751
1.0,United States,Voting power,12.751
3.0,China,Voting power,5.437
4.0,India,Voting power,5.347
5.0,Australia,Voting power,4.913
6.0,Indonesia,Voting power,4.641
7.0,Canada,Voting power,4.469
8.0,South Korea,Voting power,4.315
9.0,Germany,Voting power,3.747
10.0,Malaysia,Voting power,2.468
11.0,Philippines,Voting power,2.196
12.0,France,Voting power,2.152
13.0,Pakistan,Voting power,2.033
14.0,United Kingdom,Voting power,1.924
15.0,Italy,Voting power,1.737
16.0,New Zealand,Voting power,1.52
17.0,Thailand,Voting power,1.381
18.0,Taiwan,Voting power,1.164
19.0,Netherlands,Voting power,1.113
20.0,Bangladesh,Voting power,1.109
,All Remaining Members,Voting power,22.832
