PROVINCE NAME,POPULATION
Anhui,62200728
Beijing,25215113
Chongqing,31791850
Fujian,39789666
Gansu,26406335
Guangdong,13302000
Guangxi,50027447
Guizhou,35669112
Hainan,9645206
Hebei,76878832
Heilongjiang,38434821
Henan,94375586
Hong Kong,7478895
Hubei,59783978
Hunan,69804905
Inner Mongolia,25617169
Jiangsu,81134214
Jiangxi,46784338
Jilin,27653275
Liaoning,44260682
Macau,649335
Ningxia,7139502
Qinghai,6146631
Shaanxi,38379669
Shandong,101027107
Shanghai,27014899
Shanxi,37702752
Sichuan,82613096
Tianjin,19898557
Tibet,3414708
Xinjiang,24697132
Yunnan,49033220
Zhejiang,56292546
