,Entity,Code,Year,value_recycled_share,value_incinerated_share,littered_mismanaged_combined_share,value_landfilled_share
0,Americas (excl. USA),AMERICAS,2000,4.721963,1.2200574,32.702644,61.355328
1,Americas (excl. USA),AMERICAS,2001,4.9725046,1.2086724,32.65127,61.167557
2,Americas (excl. USA),AMERICAS,2002,5.22747,1.1975662,32.610558,60.96441
3,Americas (excl. USA),AMERICAS,2003,5.4825106,1.186352,32.54644,60.7847
4,Americas (excl. USA),AMERICAS,2004,5.7400074,1.1752826,32.480965,60.603745
5,Americas (excl. USA),AMERICAS,2005,5.9932656,1.1643187,32.38634,60.456074
6,Americas (excl. USA),AMERICAS,2006,6.2488875,1.1536299,32.298714,60.298767
7,Americas (excl. USA),AMERICAS,2007,6.5048146,1.1429298,32.198456,60.153797
8,Americas (excl. USA),AMERICAS,2008,6.750381,1.131332,32.026604,60.091694
9,Americas (excl. USA),AMERICAS,2009,7.0017624,1.1201167,31.879993,59.998127
10,Americas (excl. USA),AMERICAS,2010,7.2607164,1.1110171,31.71632,59.91195
11,Americas (excl. USA),AMERICAS,2011,7.517997,1.1020877,31.516386,59.863525
12,Americas (excl. USA),AMERICAS,2012,7.7693286,1.0941856,31.313433,59.823048
13,Americas (excl. USA),AMERICAS,2013,8.0173,1.0871824,31.086758,59.80876
14,Americas (excl. USA),AMERICAS,2014,8.261709,1.0832841,30.8692,59.78581
15,Americas (excl. USA),AMERICAS,2015,8.545545,1.0632468,30.58546,59.805756
16,Americas (excl. USA),AMERICAS,2016,8.805077,1.0594409,30.192081,59.943398
17,Americas (excl. USA),AMERICAS,2017,9.050159,1.0606065,29.824228,60.065014
18,Americas (excl. USA),AMERICAS,2018,9.3020315,1.0537329,29.444986,60.19925
19,Americas (excl. USA),AMERICAS,2019,9.554245,1.1592599,29.180882,60.10561
20,Asia (excl. China and India),,2000,3.826082,10.439383,36.908466,48.82608
21,Asia (excl. China and India),,2001,4.0782595,10.978967,36.890785,48.051964
22,Asia (excl. China and India),,2002,4.3347645,11.516974,36.843292,47.304955
23,Asia (excl. China and India),,2003,4.5875983,12.036433,36.779625,46.59634
24,Asia (excl. China and India),,2004,4.8415866,12.546595,36.695618,45.916195
25,Asia (excl. China and India),,2005,5.084951,13.035167,36.599823,45.280056
26,Asia (excl. China and India),,2006,5.3303037,13.520215,36.482292,44.667194
27,Asia (excl. China and India),,2007,5.573142,13.991865,36.3509,44.084095
28,Asia (excl. China and India),,2008,5.789884,14.406245,36.239586,43.564274
29,Asia (excl. China and India),,2009,6.0158916,14.830825,36.098736,43.054558
30,Asia (excl. China and India),,2010,6.261683,15.259307,35.94254,42.53648
31,Asia (excl. China and India),,2011,6.5045176,15.73903,35.716637,42.03982
32,Asia (excl. China and India),,2012,6.7315044,16.145636,35.531315,41.591534
33,Asia (excl. China and India),,2013,6.9581046,16.596796,35.301987,41.14312
34,Asia (excl. China and India),,2014,7.181574,16.968782,35.11712,40.732525
35,Asia (excl. China and India),,2015,7.4340363,17.335096,34.90084,40.330025
36,Asia (excl. China and India),,2016,7.6610985,17.633564,34.71078,39.994568
37,Asia (excl. China and India),,2017,7.8878145,17.935816,34.513863,39.662506
38,Asia (excl. China and India),,2018,8.143374,18.534632,34.149826,39.17216
39,Asia (excl. China and India),,2019,8.351267,18.513683,33.74583,39.389225
40,China,CHN,2000,4.7811875,8.821573,60.80302,25.594213
41,China,CHN,2001,5.210237,9.609698,59.054737,26.125334
42,China,CHN,2002,5.6417065,10.40487,57.293114,26.660315
43,China,CHN,2003,6.072641,11.204407,55.52346,27.199493
44,China,CHN,2004,6.505385,12.010196,53.74183,27.742596
45,China,CHN,2005,6.9324255,12.820912,51.95479,28.291878
46,China,CHN,2006,7.361401,13.638992,50.154366,28.845243
47,China,CHN,2007,7.7904778,14.462738,48.343662,29.40313
48,China,CHN,2008,8.205644,15.287558,46.53614,29.97066
49,China,CHN,2009,8.62724,16.121347,44.71028,30.541138
50,China,CHN,2010,9.063556,16.963223,42.862106,31.11112
