date,series,value
1997,Bread and cereals,16152.00
1998,Bread and cereals,16274.00
1999,Bread and cereals,16210.00
2000,Bread and cereals,16375.00
2001,Bread and cereals,16533.00
2002,Bread and cereals,17153.00
2003,Bread and cereals,17832.00
2004,Bread and cereals,17774.00
2005,Bread and cereals,17572.00
2006,Bread and cereals,17904.00
2007,Bread and cereals,18026.00
2008,Bread and cereals,17563.00
2009,Bread and cereals,17976.00
2010,Bread and cereals,17860.00
2011,Bread and cereals,17473.00
2012,Bread and cereals,17599.00
2013,Bread and cereals,17953.00
2014,Bread and cereals,18367.00
2015,Bread and cereals,19332.00
2016,Bread and cereals,20535.00
2017,Bread and cereals,21268.00
2018,Bread and cereals,22076.00
2019,Bread and cereals,22212.00
2020,Bread and cereals,23070.00
2021,Bread and cereals,22198.00
2022,Bread and cereals,22316.00
2023,Bread and cereals,22004.00
1997,Meat,17619.00
1998,Meat,18214.00
1999,Meat,18649.00
2000,Meat,18735.00
2001,Meat,18409.00
2002,Meat,18317.00
2003,Meat,20468.00
2004,Meat,20651.00
2005,Meat,20632.00
2006,Meat,20297.00
2007,Meat,19930.00
2008,Meat,18696.00
2009,Meat,18598.00
2010,Meat,18165.00
2011,Meat,18550.00
2012,Meat,19104.00
2013,Meat,18749.00
2014,Meat,19015.00
2015,Meat,19191.00
2016,Meat,21360.00
2017,Meat,21866.00
2018,Meat,21724.00
2019,Meat,21834.00
2020,Meat,22574.00
2021,Meat,23215.00
2022,Meat,22369.00
2023,Meat,21685.00
1997,Fish,4376.00
1998,Fish,4284.00
1999,Fish,4074.00
2000,Fish,4166.00
2001,Fish,4508.00
2002,Fish,4702.00
2003,Fish,4675.00
2004,Fish,5077.00
2005,Fish,5336.00
2006,Fish,5455.00
2007,Fish,5265.00
2008,Fish,5131.00
2009,Fish,4598.00
2010,Fish,4729.00
2011,Fish,4486.00
2012,Fish,4215.00
2013,Fish,4526.00
2014,Fish,4392.00
2015,Fish,4442.00
2016,Fish,4797.00
2017,Fish,4906.00
2018,Fish,4794.00
2019,Fish,4994.00
2020,Fish,5208.00
2021,Fish,5335.00
2022,Fish,4825.00
2023,Fish,4592.00
1997,Fruit,6368.00
1998,Fruit,6813.00
1999,Fruit,7090.00
2000,Fruit,7134.00
2001,Fruit,6768.00
2002,Fruit,7176.00
2003,Fruit,7428.00
2004,Fruit,8221.00
2005,Fruit,8760.00
2006,Fruit,9358.00
2007,Fruit,9567.00
2008,Fruit,9549.00
2009,Fruit,9686.00
2010,Fruit,8990.00
2011,Fruit,9918.00
2012,Fruit,9940.00
2013,Fruit,9354.00
2014,Fruit,10106.00
2015,Fruit,9861.00
2016,Fruit,10890.00
2017,Fruit,11269.00
2018,Fruit,11449.00
2019,Fruit,11111.00
2020,Fruit,11196.00
2021,Fruit,11389.00
2022,Fruit,11394.00
2023,Fruit,11193.00
1997,"Sugar, confectionery and ice cream",9774.00
1998,"Sugar, confectionery and ice cream",10589.00
1999,"Sugar, confectionery and ice cream",10527.00
2000,"Sugar, confectionery and ice cream",10449.00
2001,"Sugar, confectionery and ice cream",10568.00
2002,"Sugar, confectionery and ice cream",10748.00
2003,"Sugar, confectionery and ice cream",10649.00
2004,"Sugar, confectionery and ice cream",10472.00
2005,"Sugar, confectionery and ice cream",10339.00
2006,"Sugar, confectionery and ice cream",10046.00
2007,"Sugar, confectionery and ice cream",10305.00
2008,"Sugar, confectionery and ice cream",9997.00
2009,"Sugar, confectionery and ice cream",9280.00
2010,"Sugar, confectionery and ice cream",9882.00
2011,"Sugar, confectionery and ice cream",10034.00
2012,"Sugar, confectionery and ice cream",9850.00
2013,"Sugar, confectionery and ice cream",10065.00
2014,"Sugar, confectionery and ice cream",10269.00
2015,"Sugar, confectionery and ice cream",10316.00
2016,"Sugar, confectionery and ice cream",11072.00
2017,"Sugar, confectionery and ice cream",11472.00
2018,"Sugar, confectionery and ice cream",12196.00
2019,"Sugar, confectionery and ice cream",12153.00
2020,"Sugar, confectionery and ice cream",12616.00
2021,"Sugar, confectionery and ice cream",13363.00
2022,"Sugar, confectionery and ice cream",12855.00
2023,"Sugar, confectionery and ice cream",12397.00
