date,series,value
2013,Annual output per hour worked growth,1.940136
2014,Annual output per hour worked growth,-0.054933
2015,Annual output per hour worked growth,1.507953
2016,Annual output per hour worked growth,0.048746
2017,Annual output per hour worked growth,0.893805
2018,Annual output per hour worked growth,0.376791
2019,Annual output per hour worked growth,0.217689
2020,Annual output per hour worked growth,-1.985339
2021,Annual output per hour worked growth,1.994642
2022,Annual output per hour worked growth,0.665432
