date,series,value
1980-01-01,Japan,11170168.0
1981-01-01,Japan,11190964.0
1982-01-01,Japan,10535288.0
1983-01-01,Japan,9795500.0
1984-01-01,Japan,9386256.0
1985-01-01,Japan,9477341.0
1986-01-01,Japan,9961012.0
1987-01-01,Japan,10624072.0
1988-01-01,Japan,11567118.0
1989-01-01,Japan,12722543.0
1990-01-01,Japan,14091262.0
1991-01-01,Japan,15636018.0
1992-01-01,Japan,17246230.0
1993-01-01,Japan,18815982.0
1994-01-01,Japan,20316632.0
1995-01-01,Japan,21685722.0
1996-01-01,Japan,22711292.0
1997-01-01,Japan,22562694.0
1998-01-01,Japan,22353710.0
1999-01-01,Japan,22069982.0
2000-01-01,Japan,22044038.0
2001-01-01,Japan,21981310.0
2002-01-01,Japan,21793576.0
2003-01-01,Japan,22347352.0
2004-01-01,Japan,23027874.0
2005-01-01,Japan,23883890.0
2006-01-01,Japan,24946208.0
2007-01-01,Japan,25865040.0
2008-01-01,Japan,26688098.0
2009-01-01,Japan,26552734.0
2010-01-01,Japan,26394024.0
2011-01-01,Japan,26201022.0
2012-01-01,Japan,25568170.0
2013-01-01,Japan,24848968.0
2014-01-01,Japan,24350860.0
2015-01-01,Japan,24336802.0
2016-01-01,Japan,24444186.0
2017-01-01,Japan,23601760.0
2018-01-01,Japan,23701634.0
2019-01-01,Japan,23884014.0
