Entity,Code,Year,Population - Sex: all - Age: 65+ - Variant: estimates,Population - Sex: all - Age: 15-64 - Variant: estimates,Population - Sex: all - Age: 0-14 - Variant: estimates,Population - Sex: all - Age: 65+ - Variant: estimates,Population - Sex: all - Age: 15-64 - Variant: estimates,Population - Sex: all - Age: 0-14 - Variant: estimates
Thailand,THA,1950,653806,11164384,8609507,653806,11164384,8609507
Thailand,THA,1951,661278,11464355,8839042,661278,11464355,8839042
Thailand,THA,1952,669460,11777026,9080702,669460,11777026,9080702
Thailand,THA,1953,677626,12090592,9340811,677626,12090592,9340811
Thailand,THA,1954,686059,12397687,9629386,686059,12397687,9629386
Thailand,THA,1955,695215,12699399,9948411,695215,12699399,9948411
Thailand,THA,1956,704976,12998709,10293455,704976,12998709,10293455
Thailand,THA,1957,715017,13297975,10661728,715017,13297975,10661728
Thailand,THA,1958,725820,13590146,11050950,725820,13590146,11050950
Thailand,THA,1959,739295,13888824,11459822,739295,13888824,11459822
Thailand,THA,1960,756244,14210554,11884882,756244,14210554,11884882
Thailand,THA,1961,776343,14552085,12321842,776343,14552085,12321842
Thailand,THA,1962,799603,14913500,12767876,799603,14913500,12767876
Thailand,THA,1963,825143,15289210,13227892,825143,15289210,13227892
Thailand,THA,1964,851642,15692152,13688276,851642,15692152,13688276
Thailand,THA,1965,878822,16141683,14128762,878822,16141683,14128762
Thailand,THA,1966,907033,16624177,14554799,907033,16624177,14554799
Thailand,THA,1967,936596,17130066,14971075,936596,17130066,14971075
Thailand,THA,1968,968247,17662511,15371743,968247,17662511,15371743
Thailand,THA,1969,1002758,18223829,15747131,1002758,18223829,15747131
Thailand,THA,1970,1040456,18824013,16089862,1040456,18824013,16089862
Thailand,THA,1971,1080883,19454670,16401741,1080883,19454670,16401741
Thailand,THA,1972,1123978,20118488,16691347,1123978,20118488,16691347
Thailand,THA,1973,1169301,20822377,16955969,1169301,20822377,16955969
Thailand,THA,1974,1215450,21551507,17185770,1215450,21551507,17185770
Thailand,THA,1975,1261700,22301356,17376756,1261700,22301356,17376756
Thailand,THA,1976,1307968,23065635,17522712,1307968,23065635,17522712
Thailand,THA,1977,1355018,23868504,17620247,1355018,23868504,17620247
Thailand,THA,1978,1402976,24717619,17668159,1402976,24717619,17668159
Thailand,THA,1979,1451212,25590106,17676883,1451212,25590106,17676883
Thailand,THA,1980,1500041,26486774,17662961,1500041,26486774,17662961
Thailand,THA,1981,1549786,27401149,17624637,1549786,27401149,17624637
Thailand,THA,1982,1601147,28340656,17552470,1601147,28340656,17552470
Thailand,THA,1983,1655295,29323995,17443683,1655295,29323995,17443683
Thailand,THA,1984,1712587,30331227,17307524,1712587,30331227,17307524
Thailand,THA,1985,1773590,31335248,17161514,1773590,31335248,17161514
Thailand,THA,1986,1838396,32324124,17014885,1838396,32324124,17014885
Thailand,THA,1987,1907391,33304751,16861518,1907391,33304751,16861518
Thailand,THA,1988,1982468,34284924,16701731,1982468,34284924,16701731
Thailand,THA,1989,2065261,35231814,16551389,2065261,35231814,16551389
Thailand,THA,1990,2160966,36179210,16397658,2160966,36179210,16397658
Thailand,THA,1991,2270001,37117507,16249450,2270001,37117507,16249450
Thailand,THA,1992,2392255,38000320,16135787,2392255,38000320,16135787
Thailand,THA,1993,2528473,38826146,16053114,2528473,38826146,16053114
Thailand,THA,1994,2675442,39598717,15986215,2675442,39598717,15986215
Thailand,THA,1995,2831818,40348973,15916914,2831818,40348973,15916914
Thailand,THA,1996,2998351,41083767,15837187,2998351,41083767,15837187
Thailand,THA,1997,3183359,41797403,15742817,3183359,41797403,15742817
Thailand,THA,1998,3394701,42487535,15639319,3394701,42487535,15639319
Thailand,THA,1999,3626280,43153076,15518512,3626280,43153076,15518512
Thailand,THA,2000,3853301,43791008,15362096,3853301,43791008,15362096
Thailand,THA,2001,4065631,44393555,15190199,4065631,44393555,15190199
Thailand,THA,2002,4276236,44954501,15033571,4276236,44954501,15033571
Thailand,THA,2003,4490975,45481006,14893732,4490975,45481006,14893732
Thailand,THA,2004,4711497,45977118,14760735,4711497,45977118,14760735
Thailand,THA,2005,4931952,46459612,14622976,4931952,46459612,14622976
Thailand,THA,2006,5135418,46953561,14475335,5135418,46953561,14475335
Thailand,THA,2007,5317850,47460214,14320443,5317850,47460214,14320443
Thailand,THA,2008,5493671,47959959,14162242,5493671,47959959,14162242
Thailand,THA,2009,5677656,48437099,14002306,5677656,48437099,14002306
Thailand,THA,2010,5878339,48884389,13812579,5878339,48884389,13812579
Thailand,THA,2011,6100422,49318211,13584262,6100422,49318211,13584262
Thailand,THA,2012,6350409,49730957,13350081,6350409,49730957,13350081
Thailand,THA,2013,6631843,50070335,13137833,6631843,50070335,13137833
Thailand,THA,2014,6941705,50313924,12955071,6941705,50313924,12955071
Thailand,THA,2015,7276342,50484863,12773316,7276342,50484863,12773316
Thailand,THA,2016,7632833,50653444,12566651,7632833,50653444,12566651
Thailand,THA,2017,8009316,50806255,12337028,8009316,50806255,12337028
Thailand,THA,2018,8402228,50873410,12092188,8402228,50873410,12092188
Thailand,THA,2019,8808705,50866506,11837959,8808705,50866506,11837959
Thailand,THA,2020,9230164,50818801,11582374,9230164,50818801,11582374
Thailand,THA,2021,9666386,50723523,11326340,9666386,50723523,11326340
Thailand,THA,2022,10100597,50552060,11070887,10100597,50552060,11070887
Thailand,THA,2023,10540832,50329421,10819671,10540832,50329421,10819671
