Entity,Code,Year,ECPC
China,CHN,1965,2122.2656
China,CHN,1966,2246.8687
China,CHN,1967,1972.4783
China,CHN,1968,1943.5549
China,CHN,1969,2302.3645
China,CHN,1970,2871.2454
China,CHN,1971,3320.4941
China,CHN,1972,3498.7197
China,CHN,1973,3614.6829
China,CHN,1974,3654.5251
China,CHN,1975,4021.7922
China,CHN,1976,4169.278
China,CHN,1977,4482.533
China,CHN,1978,4849.5903
China,CHN,1979,4928.0503
China,CHN,1980,4914.158
China,CHN,1981,4776.941
China,CHN,1982,4910.6587
China,CHN,1983,5147.26
China,CHN,1984,5444.6426
China,CHN,1985,5800.9233
China,CHN,1986,5979.108
China,CHN,1987,6336.5337
China,CHN,1988,6691.621
China,CHN,1989,6907.9116
China,CHN,1990,6880.6626
China,CHN,1991,7122.351
China,CHN,1992,7411.3945
China,CHN,1993,7908.6753
China,CHN,1994,8323.468
China,CHN,1995,8498.712
China,CHN,1996,8880.126
China,CHN,1997,8871.482
China,CHN,1998,8822.785
China,CHN,1999,9069.433
China,CHN,2000,9334.936
China,CHN,2001,9797.812
China,CHN,2002,10602.087
China,CHN,2003,12273.32
China,CHN,2004,14272.745
China,CHN,2005,16114.158
China,CHN,2006,17552.79
China,CHN,2007,18955.223
China,CHN,2008,19561.799
China,CHN,2009,20281.068
China,CHN,2010,21551.547
China,CHN,2011,23090.885
China,CHN,2012,23873.2
China,CHN,2013,24600.36
China,CHN,2014,25071.705
China,CHN,2015,25210.303
China,CHN,2016,25164.398
China,CHN,2017,25987.383
China,CHN,2018,27104.984
China,CHN,2019,28264.688
China,CHN,2020,29119.828
China,CHN,2021,30750.547
China,CHN,2022,31220.076
China,CHN,2023,33266.83
