wk9_plasticvsgdp
Entity,Code,Year,plastic_percapita,gdp_percapita,pop,region
Nauru,NRU,2010,0.144,6448.4976,10067,Oceania
Tuvalu,TUV,2010,0.144,3334.6648,10635,Oceania
Palau,PLW,2010,0.144,14744.783,18418,Oceania
Turks and Caicos Islands,TCA,2010,0.252,25731.283,29762,North America
Sint Maarten (Dutch part),SXM,2010,0.252,50290.688,33811,North America
Saint Kitts and Nevis,KNA,2010,0.654,24558.797,46871,North America
Marshall Islands,MHL,2010,0.192,3764.227,52065,Oceania
Cayman Islands,CYM,2010,0.252,70095.9,54119,North America
Bermuda,BMU,2010,0.252,88399.914,63748,North America
Dominica,DMA,2010,0.149,12335.11,68872,North America
Antigua and Barbuda,ATG,2010,0.66,20848.914,85337,North America
Seychelles,SYC,2010,0.358,21792.256,94993,Africa
Aruba,ABW,2010,0.252,35227.207,100127,North America
Tonga,TON,2010,0.223,5002.719,107415,Oceania
Micronesia (country),FSM,2010,0.103,3500.3557,107558,Oceania
Kiribati,KIR,2010,0.103,1819.2329,108717,Oceania
Saint Vincent and the Grenadines,VCT,2010,0.221,11571.139,109976,North America
Grenada,GRD,2010,0.325,12493.993,111601,North America
Curacao,CUW,2010,0.252,27527.488,156884,North America
Saint Lucia,LCA,2010,0.522,14267.127,170920,North America
Sao Tome and Principe,STP,2010,0.103,2992.595,181811,Africa
Samoa,WSM,2010,0.103,5808.405,193035,Oceania
Vanuatu,VUT,2010,0.295,2972.3687,238257,Oceania
Barbados,BRB,2010,0.57,16011.364,275250,North America
Iceland,ISL,2010,0.281,47457.62,318163,Europe
Belize,BLZ,2010,0.172,8996.431,320256,North America
Maldives,MDV,2010,0.322,16521.861,360801,Asia
Bahamas,BHS,2010,0.39,34539.582,367482,North America
Brunei,BRN,2010,0.026,66484.24,392340,Asia
Malta,MLT,2010,0.214,32915.723,422652,Europe
Cape Verde,CPV,2010,0.065,6597.949,509794,Africa
Solomon Islands,SLB,2010,0.103,2411.1128,532977,Oceania
Suriname,SUR,2010,0.163,18255.408,549932,South America
Macao,MAC,2010,0.368,114041.11,562810,Asia
Montenegro,MNE,2010,0.144,16764.463,632090,Europe
Comoros,COM,2010,0.201,3025.5173,654845,Africa
Guyana,GUY,2010,0.586,9831.819,749258,South America
Fiji,FJI,2010,0.189,10019.412,910426,Oceania
Djibouti,DJI,2010,0.103,3664.268,930251,Africa
Cyprus,CYP,2010,0.248,38297,1127825,Europe
Equatorial Guinea,GNQ,2010,0.144,29944.262,1189096,Africa
Bahrain,BHR,2010,0.132,45600.066,1213250,Asia
Mauritius,MUS,2010,0.23,17311.625,1282710,Africa
Estonia,EST,2010,0.176,26015.746,1331450,Europe
Guinea-Bissau,GNB,2010,0.054,1697.4956,1566350,Africa
Qatar,QAT,2010,0.16,103902.516,1709240,Asia
Gabon,GAB,2010,0.054,13682.848,1719883,Africa
Gambia,GMB,2010,0.048,2172.1938,1926635,Africa
Slovenia,SVN,2010,0.145,33350.613,2044612,Europe
Latvia,LVA,2010,0.124,21173.402,2097834,Europe
Namibia,NAM,2010,0.144,9115.507,2109813,Africa
Jamaica,JAM,2010,0.034,9700.027,2748573,North America
Oman,OMN,2010,0.084,40819.938,2757451,Asia
Albania,ALB,2010,0.069,10749.519,2928730,Europe
Kuwait,KWT,2010,0.686,59780.03,2943372,Asia
Lithuania,LTU,2010,0.132,23942.76,3097719,Europe
Uruguay,URY,2010,0.252,19542.557,3318582,South America
Mauritania,MRT,2010,0.045,4773.7505,3390967,Africa
Panama,PAN,2010,0.145,22237.1,3628537,North America
Puerto Rico,PRI,2010,0.252,32960.69,3714835,North America
Bosnia and Herzegovina,BIH,2010,0.144,10636.132,3811480,Europe
Georgia,GEO,2010,0.068,9735.158,3895933,Asia
Palestine,PSE,2010,0.063,5411.0664,4016915,Asia
Liberia,LBR,2010,0.084,1418.6758,4058897,Africa
Croatia,HRV,2010,0.252,24643.15,4301152,Europe
New Zealand,NZL,2010,0.331,37557.965,4347767,Oceania
Congo,COG,2010,0.069,5050.2793,4462303,Africa
Costa Rica,CRI,2010,0.258,16667.016,4555965,North America
Ireland,IRL,2010,0.43,53436.22,4559083,Europe
Norway,NOR,2010,0.28,61672.96,4889160,Europe
Lebanon,LBN,2010,0.094,19216.49,5041290,Asia
Singapore,SGP,2010,0.194,78191.78,5077019,Asia
Finland,FIN,2010,0.234,45874.66,5363347,Europe
Denmark,DNK,2010,0.047,50825.414,5547866,Europe
Nicaragua,NIC,2010,0.143,4586.9097,5737451,North America
El Salvador,SLV,2010,0.147,7410.217,6068252,North America
Sierra Leone,SLE,2010,0.041,1401.3158,6222715,Africa
Libya,LBY,2010,0.144,31394.162,6497838,Africa
Togo,TGO,2010,0.057,1637.652,6732595,Africa
United Arab Emirates,ARE,2010,0.199,56626.74,6938372,Asia
Hong Kong,HKG,2010,0.398,51359.8,7101612,Asia
Jordan,JOR,2010,0.144,11866.881,7297045,Asia
Israel,ISR,2010,0.297,34350.45,7336737,Asia
Bulgaria,BGR,2010,0.154,18164.055,7437594,Europe
Papua New Guinea,PNG,2010,0.103,3283.772,7633523,Oceania
Honduras,HND,2010,0.189,4790.1094,8365882,North America
Sweden,SWE,2010,0.048,47791.37,9378234,Europe
Benin,BEN,2010,0.043,2634.1345,9797488,Africa
Haiti,HTI,2010,0.09,2943.5496,9803299,North America
Dominican Republic,DOM,2010,0.144,12677.018,9820181,North America
Guinea,GIN,2010,0.03,1856.4902,10396091,Africa
Portugal,PRT,2010,0.265,31798.154,10578659,Europe
Tunisia,TUN,2010,0.144,10478.011,10765982,Africa
Belgium,BEL,2010,0.08,47972.56,10936620,Europe
Greece,GRC,2010,0.2,33693.21,11124665,Europe
Somalia,SOM,2010,0.054,1308.1309,12261762,Africa
Senegal,SEN,2010,0.103,2830.1533,12635418,Africa
Guatemala,GTM,2010,0.28,7335.989,14500117,North America
Cambodia,KHM,2010,0.066,2706.9917,14500732,Asia
Ecuador,ECU,2010,0.147,10355.822,15076695,South America
Netherlands,NLD,2010,0.424,52032.99,16771232,Europe
Chile,CHL,2010,0.119,21225.104,17181462,South America
Cameroon,CMR,2010,0.046,3298.6245,19668064,Africa
Romania,ROU,2010,0.042,20415.629,20432576,Europe
Sri Lanka,LKA,2010,0.357,9254.852,20879090,Asia
Australia,AUS,2010,0.112,44881.324,22141583,Oceania
Madagascar,MDG,2010,0.016,1511.9867,22183343,Africa
Cote d'Ivoire,CIV,2010,0.103,3737.4006,22488068,Africa
Mozambique,MOZ,2010,0.015,1043.5675,22999235,Africa
Angola,AGO,2010,0.062,7689.821,23294821,Africa
Saudi Arabia,SAU,2010,0.156,41231.566,25157135,Asia
Ghana,GHA,2010,0.04,3709.3958,25475001,Africa
Malaysia,MYS,2010,0.198,20171.879,28655771,Asia
Peru,PER,2010,0.144,9996.9375,29086021,South America
Iraq,IRQ,2010,0.103,8178.305,31045365,Asia
Morocco,MAR,2010,0.073,6775.946,32467008,Africa
Canada,CAN,2010,0.093,44858.82,34196901,North America
Sudan,SDN,2010,0.103,4745.2974,35414403,Africa
Algeria,DZA,2010,0.144,11007.747,36188236,Africa
Poland,POL,2010,0.097,23692.91,38095356,Europe
Argentina,ARG,2010,0.183,23521.27,41288694,South America
Kenya,KEN,2010,0.027,3735.793,41598570,Africa
Tanzania,TZA,2010,0.023,1972.3674,44758489,Africa
Colombia,COL,2010,0.144,11890.203,44777325,South America
Ukraine,UKR,2010,0.103,12221.44,46456002,Europe
Spain,ESP,2010,0.277,37318.53,46840470,Europe
South Korea,KOR,2010,0.112,34394.492,48769330,Asia
Myanmar,MMR,2010,0.075,3094.0042,49024376,Asia
South Africa,ZAF,2010,0.24,13469.361,52344045,Africa
Italy,ITA,2010,0.134,42664.355,60164212,Europe
United Kingdom,GBR,2010,0.215,42013.824,63006484,Europe
France,FRA,2010,0.192,42145.684,63417366,Europe
Democratic Republic of Congo,COD,2010,0.045,841.85626,68563037,Africa
Thailand,THA,2010,0.144,14172.218,68579442,Asia
Turkey,TUR,2010,0.212,19804.46,73346766,Asia
Iran,IRN,2010,0.144,15099.46,77420852,Asia
Germany,DEU,2010,0.485,46999.24,80830917,Europe
Vietnam,VNM,2010,0.103,6324.526,87455150,Asia
Egypt,EGY,2010,0.178,10333.275,89196070,Africa
Philippines,PHL,2010,0.075,5876.478,96337126,Asia
Mexico,MEX,2010,0.087,19054.357,113623897,North America
Japan,JPN,2010,0.171,38069.957,128185273,Asia
Russia,RUS,2010,0.112,23961.22,143934468,Europe
Bangladesh,BGD,2010,0.034,3395.3647,152201977,Asia
Nigeria,NGA,2010,0.103,4857.266,166642887,Africa
Brazil,BRA,2010,0.165,14824.741,193701931,South America
Pakistan,PAK,2010,0.103,4082.3376,199239047,Asia
Indonesia,IDN,2010,0.057,8212.635,246305326,Asia
United States,USA,2010,0.335,54510.465,311062786,North America
India,IND,2010,0.01,4213.363,1243481564,Asia
China,CHN,2010,0.121,8884.588,1351561511,Asia
