Entity,Code,Year,mismanaged_percapita,GDP_percapita,World regions according to OWID
Albania,ALB,2019,0.543214162,13653.249,Europe
Algeria,DZA,2019,0.134113767,11627.28,Africa
Angola,AGO,2019,0.027022781,6602.269,Africa
Antigua and Barbuda,ATG,2019,0.020618557,23638.686,North America
Argentina,ARG,2019,0.09238293,22071.748,South America
Australia,AUS,2019,0.00126969,49420.94,Oceania
Bahamas,BHS,2019,0.051413882,34324.996,North America
Bahrain,BHR,2019,0,49768.977,Asia
Bangladesh,BGD,2019,0.151122996,5467.2075,Asia
Barbados,BRB,2019,0.156794425,16077.515,North America
Belgium,BEL,2019,0.002946529,51977.17,Europe
Belize,BLZ,2019,0.958974359,8925.19,North America
Benin,BEN,2019,0.138886535,3156.4387,Africa
Bosnia and Herzegovina,BIH,2019,0.001817631,14851.738,Europe
Brazil,BRA,2019,0.179099739,14685.128,South America
Brunei,BRN,2019,0.309468822,61424.363,Asia
Bulgaria,BGR,2019,0.001,23254.787,Europe
Burkina Faso,BFA,2019,0,2106.0361,Africa
Cambodia,KHM,2019,0.067507733,4464.2944,Asia
Cameroon,CMR,2019,0.412389859,3756.5095,Africa
Canada,CAN,2019,0.006361765,49169.12,North America
Cape Verde,CPV,2019,0,7743.479,Africa
Chile,CHL,2019,0.016990291,24809.861,South America
China,CHN,2019,0.049314957,15977.764,Asia
Colombia,COL,2019,0.00856195,14616.135,South America
Comoros,COM,2019,0,3290.6506,Africa
Congo,COG,2019,0.125627207,4093.9907,Africa
Costa Rica,CRI,2019,0.089144216,20818.062,North America
Cote d'Ivoire,CIV,2019,0.186024808,5132.342,Africa
Croatia,HRV,2019,0.054237288,29412.422,Europe
Cyprus,CYP,2019,0.002502085,41741.805,Europe
Democratic Republic of Congo,COD,2019,0.004839211,1059.8921,Africa
Denmark,DNK,2019,0.001559252,56813.965,Europe
Djibouti,DJI,2019,0.004106776,4768.113,Africa
Dominica,DMA,2019,0.736111111,12395.421,North America
Dominican Republic,DOM,2019,0.584411956,18171.06,North America
East Timor,TLS,2019,0.552977572,3740.4346,Asia
Ecuador,ECU,2019,0.065385058,11390.217,South America
Egypt,EGY,2019,0.024614496,11780.962,Africa
El Salvador,SLV,2019,0.125193678,9015.664,North America
Equatorial Guinea,GNQ,2019,0.298672566,16240.37,Africa
Estonia,EST,2019,0.009049774,36153.434,Europe
Fiji,FJI,2019,0.41011236,13241.546,Oceania
Finland,FIN,2019,0,48583.434,Europe
France,FRA,2019,0.003608168,45922.793,Europe
Gabon,GAB,2019,0.20478601,14478.002,Africa
Gambia,GMB,2019,0.179301533,2083.309,Africa
Georgia,GEO,2019,0.000750563,14989.258,Asia
Germany,DEU,2019,0.001604464,53884.375,Europe
Ghana,GHA,2019,0.13758301,5345.9414,Africa
Greece,GRC,2019,0.020624463,29720.17,Europe
Grenada,GRD,2019,1.160714286,15394.03,North America
Guatemala,GTM,2019,0.406234003,8673.002,North America
Guinea,GIN,2019,0.183775742,2545.1401,Africa
Guinea-Bissau,GNB,2019,0.128578865,1890.5331,Africa
Guyana,GUY,2019,1.591315453,12820.503,South America
Haiti,HTI,2019,0.615200213,3112.296,North America
Honduras,HND,2019,0.249948697,5613.6606,North America
Hong Kong,HKG,2019,0.015061861,59592.035,Asia
Iceland,ISL,2019,0,56615.305,Europe
India,IND,2019,0.092587331,6617.13,Asia
Indonesia,IDN,2019,0.208158135,11857.789,Asia
Iran,IRN,2019,0.01119232,14084.354,Asia
Iraq,IRQ,2019,0.001704401,10299.316,Asia
Ireland,IRL,2019,0.02355592,86984.984,Europe
Israel,ISR,2019,0.003873694,41151.008,Asia
Italy,ITA,2019,0.006837325,42739.05,Europe
Jamaica,JAM,2019,0.791723202,10244.366,North America
Japan,JPN,2019,0.014464764,41654.33,Asia
Jordan,JOR,2019,0.000099,9534.661,Asia
Kazakhstan,KAZ,2019,0.000700771,26351.805,Asia
Kenya,KEN,2019,0.004926389,4601.2114,Africa
Kiribati,KIR,2019,0,1963.5349,Oceania
Kuwait,KWT,2019,0.001663894,47314.797,Asia
Latvia,LVA,2019,0.004719455,30438.453,Europe
Lebanon,LBN,2019,0.099766628,17185.047,Asia
